,time,low,high,open,volume,TOMORROW_CLOSE,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,Subjectivity Bitcoin,Polarity Bitcoin,Subjectivity russia-ukraine,Polarity russia-ukraine
0,2021-01-22,28732.0,33867.0,30855.9,48155.72161708,32112.01,34259.64142857143,35865.701428571425,35377.08003108228,34647.90006244535,-729.1799686369341,2768.2375728056377,41402.1765741827,30329.22628296015,32345.74220584864,32111.01,10.376954240964466,0.3733064774731441,0.0759859173748062,0.34313677,0.115876803
1,2021-01-23,31432.19,33488.79,32982.66,16139.81478284,32288.56,33755.15,35827.98238095238,35096.73372847382,34275.48598497376,-821.2477435000546,2813.1156479371834,41454.213676826745,30201.751085078013,32307.620735281667,32287.56,10.382437295706668,0.3405083443126921,0.0449604743083004,0.34284561,0.072526533
2,2021-01-24,30931.21,33086.53,32110.0,13618.80097809,32261.87,33131.95571428572,35839.50047619048,34843.63770074564,33958.90979954951,-884.7279011961291,2797.194652832504,41433.88978185548,30245.11117052547,32277.120245093563,32260.87,10.381610319697456,0.342169140383426,0.0698148577612863,0.393656183,0.071734655
3,2021-01-25,31920.8,34888.0,32293.18,23045.66293389,32510.82,32645.31857142857,35767.12809523809,34638.48374703314,33732.009389404455,-906.4743576286857,2865.171050870468,41497.47019697903,30036.78599349716,32432.9200816984,32509.82,10.389297476524703,0.372608676046176,0.037910579004329,0.333490942,0.069509864
4,2021-01-26,30830.0,32960.37,32260.52,23535.83891688,30407.13,31917.324285714287,35459.88380952381,34271.45777225625,33212.51291807228,-1058.9448541839738,3080.085635378463,41620.055080280734,29299.71253876689,31082.39336056454,30406.13,10.322399511803589,0.3218862233445567,0.1126746632996632,0.335454829,0.094306368
5,2021-01-27,29156.0,32584.62,32510.82,46207.08537355,33488.99,32293.472857142857,35173.38047619048,34204.43569323592,33255.60775037795,-948.82794285797,2962.5302499324366,41098.44097605535,29248.3199763256,32686.79112018881,33487.99,10.418942146071307,0.3390063803299097,0.0722951857510681,0.329400794,0.108317653
6,2021-01-28,29902.14,34000.0,30414.11,36007.06269488,34262.11,32475.927142857145,34868.473809523806,34209.31921689672,33412.17546162511,-797.1437552716088,2685.6122340212746,40239.69827756636,29497.249341481256,33737.003706729745,34261.11,10.44176617065274,0.3444126984126984,0.1269960317460317,0.348112315,0.024018947
7,2021-01-29,31990.0,38570.13,33487.92,72641.07974951,34315.63,32790.73,34585.53095238095,34218.226574704124,33552.4735351882,-665.7530395159265,2385.726922939636,39356.98479826022,29814.077106501674,34122.75456890993,34314.63,10.443327072827952,0.272000466853408,0.0767137410519763,0.381618648,0.109726743
8,2021-01-30,32852.86,34900.0,34262.11,21362.15173754,33137.74,32912.04142857143,34345.82476190476,34128.56766363877,33488.16218039201,-640.4054832467591,2256.807938158709,38859.44063822218,29832.208885587344,33466.07818963663,33136.74,10.40839791559267,0.3497053452576708,0.1379392275467856,0.323966813,0.115061367
9,2021-01-31,32200.0,34387.75,34315.63,16436.39757593,33533.19,33093.658571428576,34254.42476190477,34079.59926571549,33495.135983398424,-584.4632823170687,2248.595719540568,38751.6162009859,29757.23332282363,33510.81939654554,33532.19,10.42026115197097,0.2904444444444444,0.0634444444444444,0.353394859,0.022464186
